rank	is-hd	tag-matches	description-matches	title-matches
0	0.7176157793853954	0.01428306436653682	0.000391644908616188	0.05039262969146108
1	0.7134886135080776	0.011354051774476091	0.0006894174422612892	0.04262635437617596
2	0.6950401262991711	0.010064465201947112	0.000488792682075274	0.04209972372056309
3	0.70115325644957	0.00979934671021932	0.000990169035999717	0.03999733351109926
4	0.7064803049555273	0.009563298334782318	0.0009955201592832255	0.03959071758175617
5	0.7072926405770001	0.008481367704020302	0.001066704593941118	0.036663550153599574
6	0.6953373485822562	0.007917709954659269	0.0005058168942842691	0.03904716789605468
7	0.6846211247540872	0.009293806390339868	0.000726005517641934	0.04070280170951767
8	0.6855487389229721	0.006543967280163599	0.0008776420683098077	0.03674164962508521
9	0.6549014384656366	0.007591901971230687	0.0004272895598917533	0.036760788492274904
10	0.6729379686434901	0.0075664621676891615	0.0005096839959225281	0.03810497614178596
11	0.6767191042110325	0.00741911108057979	0.0003686771862557145	0.03867555128117057
12	0.6749637004770794	0.007743898223051926	0.00111333778668448	0.03775150383737814
13	0.6764888981116414	0.0077471121256138895	0.0006675072313283394	0.037836342256346404
14	0.6726319468717231	0.006501223348479553	0.0009038186337274987	0.0376791331702202
15	0.6689400793374626	0.007516180666713063	0.0007480550568521843	0.03737212053726773
16	0.6638425990757597	0.00763198431592214	0.0005278238576383652	0.03738972132754516
17	0.6627340162486753	0.006782055810667609	0.0012929723151810161	0.03751324620275521
18	0.6610452860361997	0.007196336410554627	0.0010194479297365119	0.03612706258631969
19	0.6498430740520824	0.006701162100262957	0.0013727464079802325	0.03689880396980236
